"minify_total","responses_200","testStartOffset","bytesOut","gzip_savings","requestsFull","start_epoch","cpu.MarkLoad","connections","base_page_cdn","cpu.EventDispatch","bytesOutDoc","result","final_base_page_request_id","docTime","domContentLoadedEventEnd","image_savings","cpu.ParseHTML","requestsDoc","cpu.CommitLoad","score_cookies","cpu.Layout","score_cdn","cpu.Idle","optimization_checked","image_total","score_minify","gzip_total","responses_404","loadTime","URL","score_combine","score_etags","cpu.PlatformResourceSendRequest","firstLayout","loadEventStart","minify_savings","score_progressive_jpeg","domInteractive","score_gzip","cpu.Paint","score_compress","domContentLoadedEventStart","final_url","cpu.MarkDOMContent","bytesInDoc","score_keep-alive","loadEventEnd","cached","score_cache","responses_other","cpu.UpdateLayerTree","main_frame","fullyLoaded","requests","final_base_page_request","TTFB","cpu.UpdateLayoutTree","bytesIn","test_run_time_ms","browser_version","base_page_dns_server","firstPaint","base_page_ip_ptr","eventName","browserVersion","visualTest","base_page_cname","document_URL","date","domElements","document_origin","browser_name","domComplete","document_hostname","SpeedIndex","visualComplete85","visualComplete90","visualComplete95","visualComplete99","visualComplete","render","lastVisualChange","chromeUserTiming.fetchStart","chromeUserTiming.responseEnd","chromeUserTiming.unloadEventStart","chromeUserTiming.unloadEventEnd","chromeUserTiming.domLoading","chromeUserTiming.firstLayout","chromeUserTiming.domInteractive","chromeUserTiming.domContentLoadedEventStart","chromeUserTiming.domContentLoadedEventEnd","chromeUserTiming.domComplete","chromeUserTiming.loadEventStart","chromeUserTiming.loadEventEnd","TTIMeasurementEnd","run","step","domTime","aft","titleTime","domLoading","server_rtt","smallImageCount","bigImageCount","maybeCaptcha","bytes.html","requests.html","bytesUncompressed.html","bytes.js","requests.js","bytesUncompressed.js","bytes.css","requests.css","bytesUncompressed.css","bytes.image","requests.image","bytesUncompressed.image","bytes.flash","requests.flash","bytesUncompressed.flash","bytes.font","requests.font","bytesUncompressed.font","bytes.video","requests.video","bytesUncompressed.video","bytes.other","requests.other","bytesUncompressed.other","id","cpu.v8.compile","cpu.ScriptWrappableMarkingVisitor::performLazyCleanup","cpu.MajorGC","cpu.EvaluateScript","cpu.BlinkGC.AtomicPhase","LastInteractive","effectiveBps","effectiveBpsDoc",
"-1","1","0","1174","0","3","0","0","3","","0","778","0","BEF92C7F81F794216E5F88265737BD70","0","247","0","7","2","1","-1","1","-1","287","1","0","-1","0","2","0","http://192.168.0.173:8081/100.html","-1","-1","1","250","249","-1","-1","246","-1","0","-1","247","http://192.168.0.173:8081/100.html","0","281","100","249","0","-1","0","1","E0BF44F46B4B0B3D2266F0FE95391F66","0","3","0","60","1","476","6982","72.0.3626.105","","0","","Step_1","72.0.3626.105","1","","http://192.168.0.173:8081/100.html","1553355817.5822","3","http://192.168.0.173:8081","Chrome","249","192.168.0.173","0","0","0","0","0","0","0","0","18","173","187","187","211","250","246","246","246","249","249","249","914","3","1","0","0","0","0","0","0","0","0","281","2","86","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","190323_9F_3","","","","","","","","",
"-1","0","0","750","0","2","0","0","2","","0","354","0","","0","187","0","7","1","0","-1","1","-1","236","1","0","-1","0","2","0","http://192.168.0.173:8081/100.html","-1","-1","1","192","190","-1","-1","187","-1","0","-1","187","","0","195","-1","190","1","-1","0","1","4BBB7873BBD592ADA24E57421D16DB53","0","2","","0","1","390","6884","72.0.3626.105","","0","","Step_1","72.0.3626.105","1","","http://192.168.0.173:8081/100.html","1553355843.0743","3","http://192.168.0.173:8081","Chrome","190","192.168.0.173","0","0","0","0","0","0","0","0","19","116","130","130","148","191","187","187","187","190","190","190","844","3","1","0","0","0","0","0","0","0","0","195","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","190323_9F_3","","","","","","","","",
"-1","2","0","1175","0","3","0","0","3","","0","779","0","A211D4CD16E485EEA65E1AAF145F9D58","21095","21059","0","4","2","1","-1","0","0","241","1","0","-1","0","1","21095","http://192.168.0.173:8081/150.html","-1","-1","1","21061","21060","-1","-1","21059","-1","0","-1","21059","http://192.168.0.173:8081/150.html","0","317","100","21060","0","0","0","1","E4A2175A49EEFD2FCEE4E066298A7FAF","21095","3","0","54","0","512","28084","72.0.3626.105","","0","","Step_1","72.0.3626.105","1","","http://192.168.0.173:8081/150.html","1553355868.9452","3","http://192.168.0.173:8081","Chrome","21060","192.168.0.173","21095","21095","21095","21095","21095","21095","21095","21095","18","115","122","122","140","21061","21060","21060","21060","21060","21060","21060","21673","1","1","0","0","0","0","0","0","0","0","87","1","87","230","1","230","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","190323_WD_4","1","0","77","20864","0","21158","24","15",
"-1","0","0","396","0","1","0","0","1","","1","0","0","","21913","21816","0","6","0","1","-1","1","-1","609","1","0","-1","0","1","21913","http://192.168.0.173:8081/150.html","-1","-1","1","21818","21818","-1","-1","21816","-1","0","-1","21816","","0","0","-1","21818","1","-1","0","1","3B7E2B90B99B5A9DF8542A6EE7B9C0FF","21913","1","","0","1","195","29480","72.0.3626.105","","0","","Step_1","72.0.3626.105","1","","http://192.168.0.173:8081/150.html","1553355915.2155","3","http://192.168.0.173:8081","Chrome","21818","192.168.0.173","21913","21913","21913","21913","21913","21913","21913","21913","18","118","122","123","145","21818","21815","21816","21816","21817","21817","21817","","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","190323_WD_4","1","0","153","21622","1","","","",
"-1","2","0","1175","0","3","0","0","3","","0","779","0","D684EF2D0D02DE1CC40DD8AB1EFE48CC","24148","24078","0","5","2","1","-1","0","0","258","1","0","-1","0","1","24148","http://192.168.0.173:8081/150.html","-1","-1","1","24080","24079","-1","-1","24078","-1","0","-1","24078","http://192.168.0.173:8081/150.html","0","317","100","24079","0","0","0","1","00854ABE086BF7790D84B8C4DB4BD446","24148","3","0","53","0","512","31292","72.0.3626.105","","0","","Step_1","72.0.3626.105","1","","http://192.168.0.173:8081/150.html","1553355963.4874","3","http://192.168.0.173:8081","Chrome","24079","192.168.0.173","24148","24148","24148","24148","24148","24148","24148","24148","29","127","140","140","160","24080","24078","24079","24079","24079","24079","24079","","2","1","0","0","0","0","0","0","0","0","87","1","87","230","1","230","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","190323_WD_4","1","0","155","23876","8","","21","13",
"-1","0","0","396","0","1","0","0","1","","0","0","0","","23127","23077","0","5","0","1","-1","0","-1","237","1","0","-1","0","1","23127","http://192.168.0.173:8081/150.html","-1","-1","1","23078","23078","-1","-1","23077","-1","0","-1","23077","","0","0","-1","23078","1","-1","0","1","015B57E482865A423B7EE0029DED611B","23127","1","","0","0","195","30021","72.0.3626.105","","0","","Step_1","72.0.3626.105","1","","http://192.168.0.173:8081/150.html","1553356012.8861","3","http://192.168.0.173:8081","Chrome","23078","192.168.0.173","23127","23127","23127","23127","23127","23127","23127","23127","17","95","106","106","123","23078","23076","23076","23076","23077","23077","23077","23697","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","190323_WD_4","1","0","87","22887","0","23180","","",
"-1","2","0","1175","0","3","0","0","3","","0","779","0","CDE7C66865C822B60A1DF2D3CD117674","27135","27030","0","5","2","1","-1","0","0","217","1","0","-1","0","1","27135","http://192.168.0.173:8081/150.html","-1","-1","1","27032","27031","-1","-1","27029","-1","0","-1","27030","http://192.168.0.173:8081/150.html","0","317","100","27031","0","0","0","1","D9977B7CA89CCB8805440F53B0EF04B7","27135","3","0","57","1","512","35082","72.0.3626.105","","0","","Step_1","72.0.3626.105","1","","http://192.168.0.173:8081/150.html","1553356061.6429","3","http://192.168.0.173:8081","Chrome","27031","192.168.0.173","27135","27135","27135","27135","27135","27135","27135","27135","20","109","122","122","141","27032","27029","27029","27029","27031","27031","27031","","3","1","0","0","0","0","0","0","0","0","87","1","87","230","1","230","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","190323_WD_4","2","0","146","26847","7","","18","11",
"-1","0","0","396","0","1","0","0","1","","0","0","0","","29432","29346","0","4","0","1","-1","0","-1","223","1","0","-1","0","1","29432","http://192.168.0.173:8081/150.html","-1","-1","1","29348","29347","-1","-1","29346","-1","0","-1","29346","","0","0","-1","29347","1","-1","0","1","6A9B481DFCAF5DC6ED57FC352E150F2B","29432","1","","0","1","195","37186","72.0.3626.105","","0","","Step_1","72.0.3626.105","1","","http://192.168.0.173:8081/150.html","1553356115.1133","3","http://192.168.0.173:8081","Chrome","29347","192.168.0.173","29432","29432","29432","29432","29432","29432","29432","29432","17","119","130","130","145","29348","29346","29346","29346","29347","29347","29347","","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","190323_WD_4","3","0","150","29163","0","","","",
"-1","2","0","1175","0","3","0","0","3","","0","779","0","3244DD8473814FE6CEBE6765ECB1308E","25594","25516","0","5","2","1","-1","0","0","247","1","0","-1","0","1","25594","http://192.168.0.173:8081/200.html","-1","-1","1","25518","25517","-1","-1","25516","-1","0","-1","25516","http://192.168.0.173:8081/200.html","0","317","100","25517","0","0","0","1","AD631DEA5249E3541486114028A164BB","25594","3","0","44","0","512","32910","72.0.3626.105","","0","","Step_1","72.0.3626.105","1","","http://192.168.0.173:8081/200.html","1553356172.5524","3","http://192.168.0.173:8081","Chrome","25517","192.168.0.173","25594","25594","25594","25594","25594","25594","25594","25594","18","127","139","139","160","25517","25515","25516","25516","25517","25517","25517","","1","1","0","0","0","0","0","0","0","0","87","1","87","230","1","230","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","190323_CY_5","1","0","138","25317","1","","20","12",
"-1","0","0","396","0","1","0","0","1","","0","0","0","","25522","25445","0","6","0","0","-1","0","-1","733","1","0","-1","0","1","25522","http://192.168.0.173:8081/200.html","-1","-1","1","25447","25446","-1","-1","25445","-1","0","-1","25445","","0","0","-1","25446","1","-1","0","1","02568A3B52D65EEC92F6111B473BE5BD","25522","1","","0","0","195","33463","72.0.3626.105","","0","","Step_1","72.0.3626.105","1","","http://192.168.0.173:8081/200.html","1553356223.6279","3","http://192.168.0.173:8081","Chrome","25446","192.168.0.173","25522","25522","25522","25522","25522","25522","25522","25522","19","130","136","136","166","25446","25445","25445","25445","25446","25446","25446","","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","190323_CY_5","1","0","135","25245","1","","","",
